Year,Month,Min Temp,Max Temp,Precipitation
1901,1,-25.99,-11.78,20.38
1901,2,-26.51,-11.4,13.69
1901,3,-17.55,-4.29,47.94
1901,4,-3.88,9.38,32.49
1901,5,2.23,17.95,33.84
1901,6,6.43,20.11,158.1
1901,7,10.68,23.12,107
1901,8,8.27,22.51,53.78
1901,9,2.8,16.29,72.73
1901,10,-2.01,10.26,50.99
1901,11,-12.68,-2.69,35.61
1901,12,-20.38,-10.05,22.91
1902,1,-23.31,-9.32,23.28
1902,2,-19.79,-6.59,19.51
1902,3,-11.2,0.63,30.45
1902,4,-6.22,6.47,33.97
1902,5,2.02,14.76,74.33
1902,6,3.77,17.14,64.15
1902,7,9.19,23.39,76.36
1902,8,6.26,20.41,82.64
1902,9,2.5,14.7,58.58
1902,10,-3.18,8.32,51.74
1902,11,-8.85,-0.85,54.53
1902,12,-21.73,-10.15,34.27
1903,1,-25.28,-12.04,24.84
1903,2,-25.32,-9.34,18.72
1903,3,-14.71,-2.24,36.98
1903,4,-5.82,6.36,44.94
1903,5,1.02,13.87,88.37
1903,6,4.9,19.94,36.34
1903,7,8.23,21.34,95.21
1903,8,6.44,18.45,88.32
1903,9,2.22,14.22,109.43
1903,10,-2.33,10.66,65.04
1903,11,-13.05,-2.58,50.42
1903,12,-24.98,-12.38,40.01
1904,1,-27.71,-14.93,16.53
1904,2,-30.66,-15.38,20.21
1904,3,-18.46,-5.53,51.45
1904,4,-7.61,4.36,17.35
1904,5,0.71,14.83,60.35
1904,6,5.91,19.56,80.18
1904,7,7.06,20.66,96.85
1904,8,6.23,19.43,63.1
1904,9,2.85,13.58,82.21
1904,10,-0.8,7.7,65.79
1904,11,-6.96,2.25,15.14
1904,12,-21.99,-10.81,45.18
1905,1,-27.63,-14.28,15.21
1905,2,-25.35,-10.98,11.54
1905,3,-14.95,-2.07,34.16
1905,4,-6.53,4.9,40.69
1905,5,-0.35,12.93,63.8
1905,6,5.03,19.5,108.05
1905,7,8.44,22.2,106.77
1905,8,8.99,22,63.05
1905,9,6.12,18.15,103.1
1905,10,-3.35,6.66,55.38
1905,11,-10.15,-1,46.05
1905,12,-18.17,-6.62,14.76
1906,1,-20.97,-8.49,30.32
1906,2,-25.29,-10.25,12.24
1906,3,-20.51,-6.24,24.87
1906,4,-4.23,8.74,19.67
1906,5,0.15,12.52,85.88
1906,6,6.93,20.34,119.24
1906,7,8.34,23.15,44.77
1906,8,8.37,22,81.44
1906,9,6.09,19.3,58.94
1906,10,-2.14,8.07,42.09
1906,11,-7.78,-0.72,76.22
1906,12,-20.98,-10.58,36.91
1907,1,-29.19,-16.12,45.05
1907,2,-24.58,-9.95,23.13
1907,3,-16.55,-3.56,51.42
1907,4,-11.41,-0.1,44.64
1907,5,-5.05,6.47,44.6
1907,6,5.8,20.71,38.01
1907,7,8.25,21.68,67.46
1907,8,7.01,18.76,89.07
1907,9,3.42,13.69,86.01
1907,10,-3.77,7.96,24.36
1907,11,-9.68,-0.84,37.21
1907,12,-16.88,-5.98,16.4
