"","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","F13","F14","F15","H01","H02","H03","H04"
"1877",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5770333364303,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8638903036863,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1879",NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1480110128191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1880",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.5121377686045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1881",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4510564898663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1882",NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6725581122609,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883",NA,NA,NA,NA,NA,NA,NA,NA,NA,58.0617630895125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884",NA,NA,NA,NA,NA,NA,NA,NA,NA,61.3789495731776,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1885",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.6451679804209,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1886",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6456618241158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1887",NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5266237103896,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1888",NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9021635971887,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1889",NA,NA,NA,NA,NA,NA,NA,NA,NA,68.9774721709288,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1890",NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4115998601598,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.8796940368474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8798261299913,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,65.8809315344728,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,66.497888209872,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,71.9690762087257,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.8002780404042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,69.8873992698253,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.3609532156023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.942792838254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7586267581835,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.4013950555215,NA,NA,NA,NA,NA,NA,NA,NA,NA
