"","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","F13","F14","F15","H01","H02","H03","H04"
"1877",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5555441415158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0277492291881,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1879",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3775600336887,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1880",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0948782190824,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1881",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9901435347748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1882",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6028121311644,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8123473012093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4146862044904,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1885",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.885838654703,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1886",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.262914655438,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1887",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7918163713635,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1888",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2581952495768,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1889",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5162401574803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1890",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2061065569566,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0283733048848,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7882019936826,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9135964552392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8406391663761,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1723141258225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3186230792098,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4334631945868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3812599313138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3188108662225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.35012865593,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4025179155432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1206953099377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4235887551518,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1904",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2774315237002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2880574064582,NA,NA,20.5163504114571,NA,NA,NA,NA,NA,NA
"1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1419375999344,NA,NA,19.9505087739113,NA,NA,NA,NA,NA,NA
"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8102564102564,NA,NA,21.0723243287694,NA,NA,NA,NA,NA,NA
"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5075055368715,NA,NA,21.2720019740089,NA,NA,NA,NA,NA,NA
"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1763112533859,NA,NA,19.1658544092751,NA,NA,NA,NA,NA,NA
"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1944914255256,NA,NA,20.0661340343815,NA,NA,NA,NA,NA,NA
"1911",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.862892720503,NA,NA,20.6216285640894,NA,NA,NA,NA,NA,NA
"1912",NA,21.860790486184,NA,NA,NA,NA,NA,NA,NA,18.4556705047626,NA,NA,20.5064981764011,NA,NA,NA,NA,NA,NA
"1913",NA,21.6926210117052,NA,NA,NA,NA,NA,NA,NA,18.4661129908746,NA,NA,19.1348778035417,NA,NA,NA,NA,NA,NA
"1914",NA,21.9240938692785,NA,NA,NA,NA,NA,NA,NA,18.3723266829338,NA,NA,21.5562457576568,NA,NA,NA,NA,NA,NA
"1915",NA,21.8084559201728,NA,NA,NA,NA,NA,NA,NA,19.2814850540272,NA,20.3494642985547,21.052198762361,NA,19.239649068801,NA,NA,NA,NA
"1916",NA,21.1466696822345,NA,NA,NA,NA,NA,NA,NA,18.6125211505922,NA,20.863309352518,21.4196838977038,NA,19.0200664779023,NA,NA,NA,NA
"1917",NA,20.3182299103245,NA,NA,NA,NA,NA,NA,NA,19.229387922631,NA,21.1258918107614,21.3463852014848,NA,19.1457270964366,NA,NA,NA,NA
"1918",NA,20.7795944793283,NA,NA,NA,NA,NA,NA,NA,19.4699893258888,NA,20.7481245504059,21.2728768250051,NA,19.2921425566194,NA,NA,NA,NA
"1919",NA,18.8009641520078,NA,NA,NA,NA,NA,NA,NA,19.1040978392465,NA,19.3969498552926,20.2765166300306,NA,18.6546882851839,NA,NA,NA,NA
"1920",NA,20.8637382063352,NA,NA,NA,NA,NA,NA,NA,19.2818807786637,NA,19.2609619193236,19.9936332549471,NA,18.3831445122264,NA,NA,NA,NA
"1921",NA,21.1263261781396,NA,NA,NA,NA,NA,NA,NA,19.2088656302909,NA,19.0311063690085,20.0357377587907,NA,18.4250999692402,NA,NA,NA,NA
"1922",NA,20.39201988864,22.0404383392499,NA,NA,NA,NA,NA,NA,18.8638601674052,NA,19.6273674485449,20.5807406189635,NA,18.8952146484074,NA,NA,NA,NA
"1923",NA,20.5390076751569,22.0932505994093,21.0005859194309,NA,NA,NA,NA,NA,18.853602494666,NA,20.2035764541542,20.6858282038371,NA,19.6694384560107,NA,NA,NA,NA
"1924",NA,21.7462864666914,21.0740573214359,20.8641670777833,NA,NA,NA,NA,NA,19.3136570748327,NA,20.3817468307616,20.7592543111422,NA,18.6446240308487,NA,NA,NA,NA
"1925",NA,21.4625818858688,20.8851522190474,20.5180367619106,NA,NA,NA,NA,NA,19.2718167638125,NA,19.8474222993439,20.4970667105033,NA,18.0077688610112,NA,NA,NA,NA
"1926",NA,21.3157570024267,20.8958598857049,20.9063531056316,NA,NA,NA,NA,NA,18.9165068064546,NA,19.5231105591082,19.9628264240458,NA,18.5090237899918,NA,NA,NA,NA
